id,name,name_en,title,catg,catg_cn,catg_en,tag,intro1,intro2,intro2_en,coin_consume,coin_consume_vip,freq_all,coll_all,degree,viponly,onlineflag,autoflag,order,onlinetime,img
1,表格合并,Two tables merging,combine,form,表格与格式,"table,marge,two",表格，合并，两个,合并两个表格。,将两个表格合并成一个表格,Merging two tables according to the merging type and default value.,2,0,0,230,000,0,0,0,1,2016-04-07 18:00:00,newicon/combine.png
2,表格合并,Multiple tables merging,combinemore,form,表格与格式,"table, marge, multiple",表格，合并，多个,合并多个表格。,将多个表格合并成一个表格,Merging more than two tables according to the merging type and default value.,2,0,0,187,000,0,1,0,2,2016-04-07 18:00:00,newicon/combinemore.png
3,表格转置,Table transposition,transposition,form,表格与格式,"table, transposition",转置，表格,将表格中的行与列互换。,将表格中的行与列互换,Transposing the row and column in a table,1,0,0,138,000,0,1,0,3,2016-04-07 18:00:00,newicon/transposition.png
4,表格筛选,Data filter,screen,form,表格与格式,"form,screen",筛选，表格,从源表格中筛选出所需信息。,筛选关注的表格信息,Pick out data of interest from the input table,3,0,0,286,000,0,1,0,24,2016-04-15 18:00:00,newicon/screen.png
5,序列格式化,Sequence Format Painter,format,seqdeal,序列处理,"format,length,static","format,格式化",按设定的相关参数格式化序列。,设置碱基或氨基酸数量，描述信息保留与否、是否转为小写、获取反向互补序列,An extremely versatile application for sequence reformatting.,3,0,7,57,000,0,1,0,4,2016-04-07 18:00:00,newicon/format.png
6,序列长度统计,Sequence Length Calculator,length,seqdeal,序列处理,"length,sequence","length,长度，统计",统计所有序列的长度。,统计所有序列的长度,Calculate sequence length.,3,0,7,73,000,0,1,0,5,2016-04-07 18:00:00,newicon/length.png
7,序列长度过滤,Sequence Length Filtering,lengthfilter,seqdeal,序列处理,"sequence,filter,length","序列,过滤,长度,",筛选特定长度范围内的序列。,筛选特定长度的范围的序列,Filter sequences with specific length.,1,0,7,73,000,0,1,0,6,2016-04-07 18:00:00,newicon/lengthfilter.png
8,序列截取/提取,Sequence Interception,part,seqdeal,序列处理,"sequence,part","序列,part,截取",截取特定序列的特定区段。,截取序列的指定区段，分为单区段序列截取和多区段序列截取两种模式,Cut out a designated section of sequence.,1,0,7,81,000,0,1,0,7,2016-04-07 18:00:00,newicon/part.png
9,DNA/RNA转换器,DNA/RNA Conversion,drtrans,seqdeal,序列处理,"DNA, RNA, converse","DNA,RNA,转换器",实现DNA和RNA相互转换。,实现DNA与RNA互相转换,Conversion between DNA and RNA,1,0,7,63,000,0,1,0,34,2016-11-17 18:00:00,newicon/drtrans.png
10,CDS转蛋白,CDS2protein,cptrans,seqdeal,序列处理,"CDS, protein, sequence","CDS,蛋白,序列",将CDS转换成蛋白。,把CDS fasta序列转换成蛋白序列,"Translating CDS to protein according to the Standard Code (transl_table=1) or the Bacterial, Archaeal and Plant Plastid Code (transl_table=11)",1,0,7,85,000,0,1,0,35,2016-11-17 18:00:00,newicon/cptrans.png
11,Blast序列局部比对,BLAST-Two Sequences Alignment,blastcmp,seqdeal,序列处理,"blast, sequence","blast,序列,比对",将两条序列进行局部比对。,原始序列和目标序列来进行Blast序列比对，并输出比对结果,Local alignment between two sequences to measure their similarity,1,0,7,145,000,0,1,0,36,2016-11-17 18:00:00,newicon/blastcmp.png
13,muscle多序列比对,MUSCLE-Multiple Sequences Alignment,musclecmp,seqdeal,序列处理,"muscle, multi-sequence","muscle,多序列，比对",用muscle软件把多个序列逐列比较异同。,多序列比对工具,Multiple Sequences Alignment with Muscle program,1,0,7,107,000,0,1,0,8,2016-04-07 18:00:00,newicon/musclecmp.png
15,PCA,Two-dimension PCA,pca,cluster,聚类分析,"pca, statics","pca,主成分，筛选,主成分分析",将多个变量通过线性变换筛选出数个比较重要的变量。,将多个变量通过线性变换，筛选出数个比较重要的变量。,Convert linearly massive variables into several important variables and draw a two-dimension score plot.,8,0,4,544,000,0,0,0,9,2016-04-07 18:00:00,newicon/pca.png
